,商品链接,商品标题,划线价,活动价,促销价,活动信息,详细活动信息,优惠券信息,月销量,累计评论
17,http://item.taobao.com/item.htm?id=40888350684,山崎1923单一麦芽威士忌 Suntory Yamazaki 三得利日本洋酒 有盒,790.00-820.00,,,,,,57,156
18,http://item.taobao.com/item.htm?id=553741531490,日本原装进口三得利山崎1923单一麦芽威士忌 带盒 700mL,800.00-820.00,,,,,淘金币最高可抵商品价 3%,62,262
19,http://item.taobao.com/item.htm?id=534308651165,日本原装进口梅酒梅子酒SUNTORY三得利梅酒果酒青梅酒720ml配制酒,92.00,,,,,5元店铺优惠券，满199元可用 领取,47,281
20,http://item.taobao.com/item.htm?id=565665904062,Yamazaki三得利山崎1923单一麦芽威士忌日本原装进口洋酒日威现货,1230.00-1280.00,,800.00-850.00,店铺活动,,,27,316
21,http://item.taobao.com/item.htm?id=585717689349,三得利山崎1923单一麦芽威士忌 无年份 日本 Suntory,820.00-2430.00,,,,,,34,383
22,http://item.taobao.com/item.htm?id=566039107508,SuntoryHibiki三得利 响和风醇韵乡音威士忌日本原装进口洋酒日威,1280.00-1310.00,,950.00-980.00,店铺活动,,,48,368
23,http://item.taobao.com/item.htm?id=583201963933,三得利山崎1923单一麦芽威士忌Yamazaki日本进口,35.00-785.00,,,,,,25,86
24,http://item.taobao.com/item.htm?id=579302490353,日本三得利洋酒进口Yamazak山崎12年单一麦芽威士忌700ml现货43%,1850.00,,,,,,25,50
25,http://item.taobao.com/item.htm?id=534308395575,现货洋酒三得利角瓶威士忌 SUNTORY日本角牌原装进口700ml行货,168.00,,,,,5元店铺优惠券，满199元可用 领取,35,220
26,http://item.taobao.com/item.htm?id=615950357167,金宾/白占边波本威士忌 Jim Beam 美国原装进口洋酒 750ml 正品,80.00,,,,,每满80减16,30,55
27,http://item.taobao.com/item.htm?id=585315234010,三得利响和风醇韵 响威士忌Hibiki响牌乡音日本进口洋酒響正品,980.00-1010.00,,,,,"30元店铺优惠券，满2000元可用 领取
10元店铺优惠券，满1000元可用 领取
满850减60",11,422
28,http://item.taobao.com/item.htm?id=569344576137,三得利 HAKUSHU 12YO 白州12年单一麦芽威士忌 日本威士忌,2888.00,,2088.00,热卖促销,,每满2088减250,22,128
29,http://item.taobao.com/item.htm?id=538722433918,Bowmore 波摩12年单一麦芽威士忌 苏格兰烈酒进口洋酒 700ml新装,390.00,,320.00,促销活动,,"满300减40,送赠品",22,127
30,http://item.taobao.com/item.htm?id=597885936127,洋酒 Ardbeg苏格兰进口阿贝雅柏阿德贝哥10年单一麦芽威士忌700ml,272.00,,,,,,22,44
31,http://item.taobao.com/item.htm?id=38486965170,行货进口洋酒 波摩12年单一麦芽威士忌 Bowmore legend 700ml烈酒,499.00,,320.00,品牌促销,,,18,65
32,http://item.taobao.com/item.htm?id=571678442191,波摩12年单一麦芽苏格兰威士忌 Bowmore ISLAY洋酒 烈酒 艾莱岛,488.00-888.00,,340.00-860.00,火爆促销,,每满200减20,46,57
33,http://item.taobao.com/item.htm?id=530951861276,Suntory Yamazaki日本进口三得利山崎1923有盒无盒单一麦芽威士忌,1185.71,,820.00-830.00,巨优惠,,,5,163
34,http://item.taobao.com/item.htm?id=566094975620,日本正规进口三得利SUNTORY角瓶威士忌角牌嗨棒促销洋酒烈酒700ml,168.00,,,,,,18,105
35,http://item.taobao.com/item.htm?id=601977022516,洋酒 ARDBEG 雅柏艾雷 阿德贝哥/阿贝10年单一麦芽威士忌,288.00,,,,,,15,86
36,http://item.taobao.com/item.htm?id=612219514603,日本进口三得利威士忌三组合山崎1923 白州1973 響响和风醇韵包邮,2785.00-2885.00,,,,,"200元店铺优惠券，满10000元可用 领取
100元店铺优惠券，满5000元可用 领取
满1件打8.50折,包邮",19,13
37,http://item.taobao.com/item.htm?id=606007194177,指南针 BOWMORE/波摩12年单一麦芽苏格兰威士忌进口洋酒 海洋泥煤,399.00,,360.00,超值优惠,,满200减40,12,122
38,http://item.taobao.com/item.htm?id=37358453689,正品行货洋酒 ARDBEG 雅柏艾雷 阿德贝哥/阿贝10年单一麦芽威士忌,427.20,,340.00,促销活动,,,15,50
39,http://item.taobao.com/item.htm?id=538123538010,阿德贝哥漩涡单一麦芽苏格兰威士忌 Ardbeg Corryvreckan雅柏洋酒,569.00,,,,,,11,42
40,http://item.taobao.com/item.htm?id=557848583776,GLENMORANGIE苏格兰进口格兰杰12年雪莉桶高地单一麦芽威士忌包邮,400.00,,280.00,惊喜价,,,9,68
41,http://item.taobao.com/item.htm?id=601963482653,阿贝十年阿德贝哥10年 ARDBEG 雅柏艾雷岛单一麦芽威士忌品牌特卖,275.00,,,,,,9,94
42,http://item.taobao.com/item.htm?id=580139864875,三得利1973白州威士忌 Suntory 日本原瓶进口威士忌洋酒 700ml,720.00,,,,,,5,23
43,http://item.taobao.com/item.htm?id=569469757814,三得利 Yamazaki 18YO 山崎18年单一麦芽威士忌酒 日本进口,8888.00,,7600.00,热卖促销,,每满7600减1000,17,68
44,http://item.taobao.com/item.htm?id=538108520562,三得利角瓶威士忌 角牌 烈酒 SUNTORY 日本进口洋酒700ml,219.00,,168.00,促销活动,,,11,76
45,http://item.taobao.com/item.htm?id=522959965419,洋酒 波摩15年单一麦芽威士忌 BOWMORE 15YO43%/70cl达克斯艾莱岛,458.00,,,,,,11,20
46,http://item.taobao.com/item.htm?id=575876039065,三得利山崎12年单一麦芽威士忌 日本三得利酒类株式会社 700ml,2000.00,,,,,淘金币可抵60.00元,7,46
47,http://item.taobao.com/item.htm?id=35768908408,洋酒 三得利山崎1923单一麦芽威士忌 日本三得利酒类株式会社原装,935.00,,815.00,促销活动,,"淘金币可抵16.30元
20元店铺优惠券，满998元可用 领取
15元店铺优惠券，满499元可用 领取",10,38
48,http://item.taobao.com/item.htm?id=527901867566,日本洋酒 Suntory 三得利山崎12年单一麦芽威士忌 700ml原装正品,2900.00,,2000.00,爆款促销,,满2000减130,18,59
49,http://item.taobao.com/item.htm?id=575644784711,Ardbeg苏格兰原装进口阿贝雅柏阿德贝哥10年单一麦芽威士忌 包邮,688.00,,358.00,热卖促销,,,14,78
50,http://item.taobao.com/item.htm?id=528875072673,日本原瓶进口SUNTORY梅子酒白兰地梅酒三得利梅酒配制果酒720ml,92.00,,,,,满220减10,14,35
51,http://item.taobao.com/item.htm?id=537891114676,Bowmore 苏格兰波摩15年单一麦芽威士忌 进口洋酒正品行货包邮,685.71,,458.00,惊喜价,,,7,47
52,http://item.taobao.com/item.htm?id=598006364113,三得利梅酒720ml日本原装进口suntory日式梅子酒清梅酒女士果酒,98.00,,,,,,9,56
53,http://item.taobao.com/item.htm?id=578344106738,阿贝10年威士忌单一麦芽乌干达/漩涡/奥之岬/Ardbeg雅柏ANOA独饮,419.00-714.00,,295.00-590.00,火热促销,,,11,77
54,http://item.taobao.com/item.htm?id=527702950998,波摩15年单一麦芽苏格兰威士忌 Bowmore艾雷岛 原装进口洋酒 正品,458.00,,,,,,10,96
55,http://item.taobao.com/item.htm?id=577391820137,进口洋酒 Bowmore 波摩15年艾雷岛单一麦芽苏格兰威士忌700ml新装,596.00,,480.00,促销活动,,"满480减22,送赠品",6,35
56,http://item.taobao.com/item.htm?id=563863706285,进口洋酒三得利白州1973单一麦芽威士忌烈酒SuntoryHakushu 700ml,840.00,,751.00,促销活动,,"满1件,送赠品",8,19
57,http://item.taobao.com/item.htm?id=601876140314,孟买蓝宝石金酒 BOMBAY 杜松子酒鸡尾酒洋酒烈酒金汤力基酒 750ml,197.00,,97.00,惊喜价,,"淘金币可抵2.91元
30元店铺优惠券，满400元可用 领取
15元店铺优惠券，满200元可用 领取",7,60
58,http://item.taobao.com/item.htm?id=527996114906,原装进口格兰杰12年雪莉桶风味单一麦芽苏格兰威士忌洋酒700ml,595.10,,285.00,促销活动,,,4,53
59,http://item.taobao.com/item.htm?id=530887130364,Bowmore苏格兰进口波摩12年艾莱单一麦芽威士忌酒 正品洋酒包邮,514.29,,320.00,惊喜价,,,4,59
60,http://item.taobao.com/item.htm?id=539013581709,洋酒ARDBEG雅伯艾雷岛 阿德贝哥/阿贝10年单一麦芽威士忌原装正品,345.00,,,,,,5,152
61,http://item.taobao.com/item.htm?id=565856342151,Yamazaki 山崎18年 单一麦芽威士忌 日本原装进口洋酒 现货,7899.00,,6500.00,店铺活动,,,3,38
62,http://item.taobao.com/item.htm?id=558955440151,原装进口格兰杰12年雪莉桶风味单一麦芽苏格兰威士忌洋酒700ml,271.00,,,,,,6,39
63,http://item.taobao.com/item.htm?id=520938952615,日本进口 三得利白州1973单一麦芽威士忌 Single Malt 700ml正品,880.00,,750.00,热卖促销,,,6,42
64,http://item.taobao.com/item.htm?id=565532992027,Hakushu 白州12年 单一麦芽威士忌 日本原装进口 三得利洋酒,1998.00,,1800.00,店铺活动,,,4,25
65,http://item.taobao.com/item.htm?id=601877868365,日威三剑客 山崎1923、白州1973、響/响和风醇韵组合套装 无盒,2450.00,,,,,,6,28
66,http://item.taobao.com/item.htm?id=569565054290,三得利 Hibiki 17YO 响17年 调和日本威士忌 正品原装进口洋酒,6888.00,,4660.00,热卖促销,,每满4660减480,7,55
67,http://item.taobao.com/item.htm?id=564466485695,进口洋酒 格兰杰12年雪莉桶单一麦芽苏格兰威士忌烈酒700ml 带盒,398.00,,285.00,促销活动,,,2,30
68,http://item.taobao.com/item.htm?id=586640211734,有盒】响和风醇韵日本威士忌響三得利威士忌响牌洋酒 HIBIKI正品,915.00,,,,,,0,10
69,http://item.taobao.com/item.htm?id=522200700047,日本洋酒 SUNTORY日本三得利响和风醇韵响牌威士忌700ml,1193.50,,1050.00,热卖促销,,,4,41
70,http://item.taobao.com/item.htm?id=552710767402,洋酒日本进口梅子酒 SUNTORY三得利梅酒14度青梅酒720m前红酒业,92.00,,,,,"淘金币可抵2.76元
30元店铺优惠券，满699元可用 领取
20元店铺优惠券，满499元可用 领取",5,77
71,http://item.taobao.com/item.htm?id=528483534533,原装进口格兰杰12年雪莉桶风味单一麦芽苏格兰威士忌洋酒700ml,275.00,,,,,,3,36
72,http://item.taobao.com/item.htm?id=35932201974,启德洋酒Bowmore波摩12年单一麦芽威士忌艾莱威士忌正品行货,350.00,,,,,"淘金币可抵10.50元
30元店铺优惠券，满700元可用 领取
20元店铺优惠券，满500元可用 领取",4,48
73,http://item.taobao.com/item.htm?id=593780681693,Bowmore 苏格兰波摩15年达克斯单一麦芽威士忌 进口洋酒正品包邮,858.00,,498.00,热卖促销,,,4,32
74,http://item.taobao.com/item.htm?id=534355330619,日本进口梅子酒 SUNTORY 三得利梅酒 配制酒低度数女士酒 720mL,92.00,,,,,,2,14
75,http://item.taobao.com/item.htm?id=587523435408,格兰杰 12年雪莉桶 单一麦芽威士忌,380.00,,,,,"200元店铺优惠券，满2000元可用 领取
150元店铺优惠券，满1500元可用 领取
满1件,送赠品",3,16
76,http://item.taobao.com/item.htm?id=593851109146,洋酒 AULTMORE 欧摩18年单一麦芽威士忌 英国进口 700ml 启德,858.00,,,,,"淘金币可抵25.74元
30元店铺优惠券，满700元可用 领取
20元店铺优惠券，满500元可用 领取",0,6
77,http://item.taobao.com/item.htm?id=598900839146,(无盒)日本威士忌三组合 山崎1923、白州1973、響/响和风醇韵,2320.00,,,,,,1,41
78,http://item.taobao.com/item.htm?id=562117026272,洋酒格兰杰12年雪莉酒桶窖藏单一麦芽威士忌Glenmorangie Lasanta,285.00,,,,,"20元店铺优惠券，满899元可用 领取
15元店铺优惠券，满499元可用 领取",0,22
79,http://item.taobao.com/item.htm?id=569526201456,洋酒进口阿贝10年Ardbeg雅柏阿德贝哥单一麦芽苏格兰威士忌46%,336.00,,,,,,3,36
80,http://item.taobao.com/item.htm?id=522788727514,进口洋酒 Bowmore波摩15年单一麦芽威士忌艾莱苏格兰威士忌正品,756.80,,480.00,品牌促销,,满400减35,0,28
81,http://item.taobao.com/item.htm?id=587746138445,欧摩 18年 单一麦芽苏格兰威士忌700ml AULTMORE英国进口洋酒正品,1080.00,,,,,"200元店铺优惠券，满2000元可用 领取
150元店铺优惠券，满1500元可用 领取",0,2
82,http://item.taobao.com/item.htm?id=586493025057,三得利 白州 12年 单一麦芽威士忌 日本 Suntory,1880.00,,,,,,0,25
83,http://item.taobao.com/item.htm?id=590426565615,洋酒 波摩15年单一麦芽威士忌 Bowmore15 苏格兰威士忌酒 700ml,499.00,,480.00,优惠价,,"淘金币可抵14.40元
200元店铺优惠券，满2000元可用 领取
120元店铺优惠券，满1200元可用 领取",1,25
84,http://item.taobao.com/item.htm?id=612947351024,【有盒 现货】响和风醇韵 响和风 HIBIKI日本威士忌 響 响无年份,99999.00,,980.00,卖家促销,,,1,41
85,http://item.taobao.com/item.htm?id=530297913706,Hakushu日本进口三得利白州12年单一麦芽威士忌700ml 正品包邮,2400.00,,1760.00,惊喜价,,,0,16
86,http://item.taobao.com/item.htm?id=36871602087,速发百加得白朗姆酒白朗姆酒烘培鸡尾酒基酒40度bacardi洋酒750ml,54.00,,,,,,1462,9290
87,http://item.taobao.com/item.htm?id=13828121853,百加得白朗姆酒 百加得超级朗姆酒BACARDI RUM 莫吉托mojito750ml,57.00,,53.00,促销活动,,"淘金币可抵1.06元
20元店铺优惠券，满998元可用 领取
15元店铺优惠券，满499元可用 领取",1526,3416
88,http://item.taobao.com/item.htm?id=19379155658,杰克丹尼田纳西州威士忌Jack Daniel's 美国原装洋酒 正品行货！,120.00,,,,,,1498,5496
89,http://item.taobao.com/item.htm?id=572059490127,洋酒酒版杰克丹尼威士忌小酒版小酒伴50mL玻璃瓶蛋糕装饰,18.50,,,,,,1445,36
90,http://item.taobao.com/item.htm?id=571905310958,杰克丹尼田纳西州威士忌 小酒伴 50mL 玻璃瓶 蛋糕装饰,18.00,,,,,,936,552
91,http://item.taobao.com/item.htm?id=15308567380,洋酒 百加得白朗姆酒 超级白朗姆酒 莫吉多mojito鸡尾酒调酒750ml,104.50,,54.00,促销活动,,,758,3086
92,http://item.taobao.com/item.htm?id=20565599246,野格力娇酒 野格圣鹿利口酒 JAGERMEIFTER德国原装进口 正品洋酒,138.00,,,,,,603,1123
93,http://item.taobao.com/item.htm?id=589938213113,猿小姐 德国进口网红洋酒野格圣鹿酒利口酒力娇酒正品行货700ml,168.00,,138.00,店铺促销,,"淘金币可抵4.14元
80元店铺优惠券，满1099元可用 领取
40元店铺优惠券，满599元可用 领取
满1件,送赠品,满2件,送赠品,满3件,送赠品,满4件,送赠品",620,3321
94,http://item.taobao.com/item.htm?id=38036932914,百加得黑朗姆酒 BACARDI BLACK RUM 烘焙 正品洋酒 超级兰姆酒,62.00,,,,,,442,1033
95,http://item.taobao.com/item.htm?id=25148352298,百加得黑朗姆酒 BACARDI BLACK RUM 烘焙 正品洋酒 超级朗姆酒,63.00,,,,,,313,1399
96,http://item.taobao.com/item.htm?id=546557054020,百加得白朗姆酒小瓶酒版50ml烘焙调味酒芝士蛋糕提拉米苏原料配料,9.50,,,,,,357,34
97,http://item.taobao.com/item.htm?id=595492174761,老宋的微醺23点 德国野格圣鹿利口酒700ml蓝鲸莫斯卡托香槟起泡酒,258.00,,168.00,超值优惠,,淘金币可抵5.04元,357,4395
98,http://item.taobao.com/item.htm?id=40303391431,日本正规进口三得利SUNTORY角瓶威士忌角牌嗨棒促销洋酒烈酒700ml,168.00,,,,,"淘金币可抵3.36元
满220减10",132,714
99,http://item.taobao.com/item.htm?id=586490606506,杰克丹尼田纳西洲威士忌50ml洋酒小酒版 玻璃瓶酒办JACK DANIEL's,17.80,,,,,,354,464
100,http://item.taobao.com/item.htm?id=549735931502,启德洋酒杰克丹尼威士忌JackDaniel's美国进口700m婚庆聚会派对酒,59.00-254.00,,,,,"淘金币最高可抵商品价 3%
30元店铺优惠券，满700元可用 领取
20元店铺优惠券，满500元可用 领取",256,1171
101,http://item.taobao.com/item.htm?id=16976048255,Jack Daniels 杰克丹尼田纳西州威士忌酒 美国进口洋酒正品行货,175.00,,118.00,促销活动,,,319,1275
102,http://item.taobao.com/item.htm?id=24563744400,百加得白朗姆750ml 百家得白超级朗姆百加得朗姆酒烘焙新包装40度,56.00-142.00,,,,,,154,774
103,http://item.taobao.com/item.htm?id=36827558059,洋酒 孟买蓝宝石金酒 伦敦干毡酒 杜松子露酒BOMBAY SAPPHIRE GIN,75.00,,,,,,223,1361
104,http://item.taobao.com/item.htm?id=20472571543,马天尼阿斯蒂起泡葡萄酒 甜型气泡martini Asti意大利新包装正品,61.00,,,,,,175,513
105,http://item.taobao.com/item.htm?id=601388472684,正品行货 德国进口野格鹿头酒圣鹿利口酒力娇700ml耶格网红款洋酒,168.00,,138.00,活动中,,"淘金币可抵4.14元
50元店铺优惠券，满1088元可用 领取
20元店铺优惠券，满450元可用 领取
满1件,送赠品,满2件,送赠品,满3件,送赠品,满4件,送赠品,满5件,送赠品",259,2554
106,http://item.taobao.com/item.htm?id=602306727071,美国进口Jack Daniels whiskey杰克丹尼田纳西州威士忌 黑杰克,228.00-288.00,,128.00-188.00,惊喜价,,"30元店铺优惠券，满400元可用 领取
15元店铺优惠券，满200元可用 领取",148,1101
107,http://item.taobao.com/item.htm?id=563269298606,小酒版 蛋糕装饰摆件 杰克丹尼威士忌50ml JACK DANIEL'S 玻璃瓶,8.00-17.40,,,,,"淘金币最高可抵商品价 3%
30元店铺优惠券，满400元可用 领取
15元店铺优惠券，满200元可用 领取",227,282
108,http://item.taobao.com/item.htm?id=38276981871,美国进口行货杰克丹尼田纳西州威士忌700mL 杰克丹尼蜂蜜组合可选,59.00-418.00,,59.00-418.00,活动促销,,"淘金币可抵1.77元
30元店铺优惠券，满699元可用 领取
20元店铺优惠券，满499元可用 领取",250,3243
109,http://item.taobao.com/item.htm?id=553337012180,百加得白朗姆750ml 百家得白超级朗姆百加得朗姆酒烘焙新包装40度,58.50,,,,,,118,73
110,http://item.taobao.com/item.htm?id=538815126677,进口洋酒 BACARDI 百加得黑朗姆酒750ml 兰姆酒烘培鸡尾酒,65.00,,,,,,292,334
111,http://item.taobao.com/item.htm?id=15840784794,启德鸡尾酒Bacardi百加得白朗姆酒洋酒烘焙莫吉托mojito 750ml,66.00,,,,,"淘金币可抵1.98元
30元店铺优惠券，满700元可用 领取
20元店铺优惠券，满500元可用 领取",188,1005
112,http://item.taobao.com/item.htm?id=587560202858,洋酒酒版杰克丹尼威士忌小酒版小酒伴50mL玻璃瓶蛋糕装饰烘培摆件,18.00,,,,,,211,214
113,http://item.taobao.com/item.htm?id=571962528698,洋酒酒版杰克丹尼酒版威士忌 50mL小酒伴玻璃瓶 蛋糕装饰摆件小酒,18.50,,,,,,144,146
114,http://item.taobao.com/item.htm?id=599206136000,白占边波本威士忌 金宾嗨棒 美国原装进口洋酒基酒750ml 正品行货,288.00,,88.00,优惠价,,"200元店铺优惠券，满2000元可用 领取
120元店铺优惠券，满1200元可用 领取
每满88减10",68,1088
115,http://item.taobao.com/item.htm?id=575184206316,【楠希小馆】杰克丹尼威士忌酒 JackDaniels威士忌700ml 进口洋酒,289.00,,158.00,专属优惠,,,117,1130
116,http://item.taobao.com/item.htm?id=601701681925,德国野格恶魔鹿头酒利口酒力娇酒圣鹿野葛酒耶格酒700ml,228.00-298.00,,138.00-228.00,超值优惠,,,44,2420
117,http://item.taobao.com/item.htm?id=19238636987,正品行货英国进口洋酒 孟买蓝宝石金酒 Bombay杜松子酒750ml 琴酒,72.00,,,,,"淘金币可抵2.16元
30元店铺优惠券，满699元可用 领取
20元店铺优惠券，满499元可用 领取",70,214
118,http://item.taobao.com/item.htm?id=592240448157,洋酒美国原装进口杰克丹尼威士忌JACK whiskey 700ml包邮,186.00,,118.00,让利促销,,淘金币可抵2.36元,73,91
119,http://item.taobao.com/item.htm?id=593850498392,日本进口洋酒SUNTORY角牌嗨棒三得利角瓶调和威士忌700ml1.92L,316.00-588.00,,168.00-358.00,火爆促销,,,71,419
120,http://item.taobao.com/item.htm?id=598184656737,【买1赠5】德国原瓶进口洋酒 野格圣鹿利口酒力娇酒正品行货700ml,198.00-228.00,,138.00-168.00,优惠促销,,"淘金币可抵4.14元
25元店铺优惠券，满400元可用 领取
10元店铺优惠券，满200元可用 领取",101,1856
121,http://item.taobao.com/item.htm?id=13665056078,洋酒原装进口杰克丹尼田纳西州威士忌JACK DANIELS700ml,120.00,,,,,"淘金币可抵2.40元
20元店铺优惠券，满998元可用 领取
15元店铺优惠券，满499元可用 领取",104,661
122,http://item.taobao.com/item.htm?id=607181340870,现货野格利口酒圣鹿力娇酒鹿头德国进口洋酒正品行货700ml,399.00,,138.00,优惠价,,"淘金币可抵4.14元
200元店铺优惠券，满2000元可用 领取
120元店铺优惠券，满1200元可用 领取
满1件,送赠品,满2件,送赠品,满3件,送赠品,满4件,送赠品",118,2829
123,http://item.taobao.com/item.htm?id=595147880848,老宋的微醺23点 美国进口杰克丹尼田纳西州威士忌 700ml/瓶,270.00-596.00,,158.00-298.00,新品促销,,淘金币可抵4.74元,115,1004
124,http://item.taobao.com/item.htm?id=569805560608,酒百加得白朗姆酒百加得超级朗姆酒BACARDI RUM750ml百家得原装,66.00,,55.00,惊喜价,,,73,217
125,http://item.taobao.com/item.htm?id=595151148187,老宋的微醺23点 英国原装进口孟买蓝宝石金酒金汤力鸡尾洋酒750ml,128.00,,97.00,超值优惠,,淘金币可抵2.91元,90,603
126,http://item.taobao.com/item.htm?id=595473291749,三得利六精酿金酒 6 杜松子酒 日本 Suntory Roku Gin,290.00,,,,,,155,264
127,http://item.taobao.com/item.htm?id=571632567682,正品杰克丹尼田纳西州威士忌 小酒伴 50mL 玻璃瓶 蛋糕装饰,18.50,,,,,,133,79
128,http://item.taobao.com/item.htm?id=538955916793,百加得白朗姆酒750ml超级朗姆酒鸡尾酒烘焙BACARDI40度进口洋酒,57.00,,,,,,97,665
129,http://item.taobao.com/item.htm?id=15940338208,洋酒百加得白朗姆酒百加得超级朗姆酒 BACARDI RUM Mojito 莫吉托,80.25,,66.00,同行评分高,,,81,281
130,http://item.taobao.com/item.htm?id=14670826986,洋酒 百加得黑朗姆酒 百家得黑朗姆酒BACARDI BLACK RUM750ML,60.00,,,,,"淘金币可抵1.20元
20元店铺优惠券，满998元可用 领取
15元店铺优惠券，满499元可用 领取",85,243
131,http://item.taobao.com/item.htm?id=15390999296,百加得黑朗姆酒750ml 进口洋酒烈酒兰姆酒鸡尾酒烘焙正品行货,124.00,,69.00,促销活动,,,81,301
132,http://item.taobao.com/item.htm?id=546186792801,艾柏迪12年单一麦芽苏格兰威士忌 ABERFELDY 艾伯迪原装进口 洋酒,223.00,,,,,,30,261
133,http://item.taobao.com/item.htm?id=602985002338,野格酒礼盒正品行货德国进口洋酒利口酒正品行货700ml*2瓶礼盒,398.00,,298.00,优惠促销,,淘金币可抵8.94元,49,153
134,http://item.taobao.com/item.htm?id=36882811822,百加得白朗姆酒50ml芝士蛋糕 提拉米苏原料家用烘焙调味酒原装,9.70,,,,,,54,420
135,http://item.taobao.com/item.htm?id=598369771240,现货德国野格鹿头酒1/2支装700ml圣鹿力娇利口酒野葛耶格小瓶洋酒,138.00-276.00,,,,,"淘金币最高可抵商品价 3%
50元店铺优惠券，满1088元可用 领取
20元店铺优惠券，满450元可用 领取",40,298
136,http://item.taobao.com/item.htm?id=543779676003,【楠希小馆】孟买蓝宝石金酒 杜松子酒 英国洋酒琴酒 鸡尾酒基酒,118.00,,108.00,专属优惠,,,48,353
137,http://item.taobao.com/item.htm?id=594327557620,AULTMORE欧摩12年YO单一麦芽苏格兰威士忌英国进口洋酒正品,786.00,,338.00,热卖促销,,,46,254
138,http://item.taobao.com/item.htm?id=602271818032,三得利角瓶威士忌 角牌 烈酒 SUNTORY 日本进口洋酒700ml,169.00,,,,,,55,416
139,http://item.taobao.com/item.htm?id=611003725419,现货正品行货 德国进口洋酒野格圣鹿小瓶酒利口酒力娇酒700+200ml,79.00-198.00,,49.00-168.00,惊喜价,,"淘金币可抵1.47元
30元店铺优惠券，满400元可用 领取
15元店铺优惠券，满200元可用 领取",45,953
140,http://item.taobao.com/item.htm?id=15841272422,启德朗姆酒Bacardi百加得40度进口750ml烘焙调酒mojito莫吉托,75.00,,63.00,夏季热卖,,"淘金币可抵1.89元
30元店铺优惠券，满700元可用 领取
20元店铺优惠券，满500元可用 领取",35,145
